2026-02-01 00:00:31 | ERROR | db | Service dependency not responding dependency=redis (env=prod, region=ap-southeast-1, ip=144.47.20.179, request_id=tvmyjsy2wlde7498, trace_id=uzq76ecnajo7un2vwr082o3b, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:00:37 | INFO | db | PATCH /health 502 (893ms) (env=prod, region=me-south-1, ip=36.233.133.191, request_id=mcc2f66a5dnsaxv8, trace_id=c35tgz5y71dmvk9aycv3a4uy, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:00:47 | INFO | db | User login success user_id=7891 (env=dev, region=eu-west-1, ip=189.17.218.88, request_id=j2mnmtxmnugufsnr, trace_id=uazwk2hj9lufy0ythzvgtb46, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:01:16 | WARN | db | Payment provider latency high (1322ms) (env=prod, region=ap-southeast-1, ip=197.163.9.215, request_id=go4ho8zwphx9pa9g, trace_id=vjlles20ln8na4qy9irfzu0w, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:01:40 | INFO | db | Cache miss key=inv:SKU88541 (env=staging, region=eu-west-1, ip=223.19.220.82, request_id=one2v13rkz3z74ww, trace_id=7ygiljjanq91fw89qpko53ta, ua="curl/8.4.0")
2026-02-01 00:01:54 | INFO | db | User logout success user_id=3850 (env=staging, region=eu-west-1, ip=165.107.47.71, request_id=6p1xm1vazl54yq88, trace_id=hdv7ap7is0js0h3ynqrxyt45, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:02:22 | INFO | db | Batch processed records=4814 duration_ms=597 (env=prod, region=me-south-1, ip=127.246.51.211, request_id=vz7uf7gt76lt16kf, trace_id=shagawchpjy7wgxnljab5zbm, ua="PostmanRuntime/7.36.0")
2026-02-01 00:02:24 | INFO | db | Batch processed records=4536 duration_ms=337 (env=prod, region=me-south-1, ip=69.118.183.147, request_id=6zavliyhwav7kin4, trace_id=x1yzuvya8dqv78tg6ug539x9, ua="curl/8.4.0")
2026-02-01 00:02:37 | INFO | db | Token refreshed user_id=8518 (env=prod, region=us-east-1, ip=210.154.23.172, request_id=0pv0zbfu5xzx6oef, trace_id=3k0x7fnaymtkgtzerovu8d2k, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:03:27 | INFO | db | GET /admin/config 204 (3443ms) (env=prod, region=us-east-1, ip=81.16.135.211, request_id=ockcsoqrz1qf36sx, trace_id=2toilk0weeor11pceof1k7ix, ua="curl/8.4.0")
2026-02-01 00:03:36 | WARN | db | Temporary network jitter detected rtt_ms=84 (env=staging, region=us-east-1, ip=184.136.227.243, request_id=gta09j26pstflpl4, trace_id=9qlq6nvre3ii9aygha1asde0, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:46 | INFO | db | Cache hit key=inv:SKU74549 ttl_s=2250 (env=dev, region=eu-west-1, ip=151.219.46.241, request_id=ti2f78eod2aegvr2, trace_id=jl5rumwwvz30bhne7jwao398, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
