2026-02-01 00:00:11 | INFO | search | Job completed successfully: job=daily-report duration_ms=1209 (env=dev, region=eu-west-1, ip=65.36.116.91, request_id=mf5yt5cziu6uuzel, trace_id=jl8oanwjmrs99gvj2rtvhuwt, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:00:29 | INFO | search | Cache miss key=cart:6763 (env=prod, region=us-east-1, ip=54.175.250.33, request_id=prcaprvdpvj5qzbq, trace_id=njylkxnw742tm7y6hei30zyr, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:00:50 | INFO | search | Batch processed records=3929 duration_ms=2688 (env=staging, region=us-east-1, ip=244.3.92.104, request_id=7i9c674l254pyead, trace_id=abmzeuc5wzsosvnaoeb6k5vo, ua="PostmanRuntime/7.36.0")
2026-02-01 00:03:00 | INFO | search | Config loaded version=1.4.22 (env=prod, region=us-east-1, ip=97.247.137.110, request_id=fnfr9m9rkxqyy3ej, trace_id=ii7qxvjm8v11lhv4ax70t56y, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:03:24 | INFO | search | Token refreshed user_id=3419 (env=staging, region=me-south-1, ip=111.243.103.29, request_id=gss4xqpvtolsldo1, trace_id=rzlky0b7zxhrx2t0uxcgchth, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:03:38 | INFO | search | Cache hit key=inv:SKU24501 ttl_s=3580 (env=staging, region=me-south-1, ip=229.44.69.3, request_id=hhe9v1w3usmn69fo, trace_id=ns1rznysoar9zdhj0h8j5hjn, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:03:51 | INFO | search | User logout success user_id=9093 (env=prod, region=ap-southeast-1, ip=195.43.54.123, request_id=lkbn7gjycuyhbb1x, trace_id=m1ftbq27cms3uloh8jum9c7n, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:04:21 | INFO | search | Cache hit key=inv:SKU52138 ttl_s=1527 (env=prod, region=me-south-1, ip=98.93.241.136, request_id=lozqxmezci4n8qam, trace_id=ks8y52xsqia9w8b0a45an5zt, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:05:16 | INFO | search | Cache hit key=user:8238 ttl_s=3547 (env=prod, region=eu-west-1, ip=22.128.99.122, request_id=z51otvkamgmuvm3d, trace_id=oz54zvuglxpu4k046rywernd, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:05:38 | INFO | search | User logout success user_id=2483 (env=prod, region=eu-west-1, ip=86.244.190.86, request_id=rgjzdlgmp3h1ez08, trace_id=pcw5ay15yi990xjnjzpdooa7, ua="curl/8.4.0")
2026-02-01 00:05:51 | INFO | search | Config loaded version=2.12.32 (env=prod, region=ap-southeast-1, ip=153.104.165.202, request_id=40l7ag5vimh16cx8, trace_id=zj3qe607i3nehhqvnsyqv5y3, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
